Elect_div,sum_prop_funding,num_sp_current_recovery_plan,sum_sutcliffe_met,num_sp_status_improved,sum_persistence_prob,num_sp_status_worsened,num_sp_extinct,num_sp_endemic,number_threat_sp,number_delisted_sp,indicator_funding,grade_funding,indicator_recovery_plans,grade_recovery_plans,indicator_habitat_prot,grade_habitat_prot,indicator_improved,grade_improved,indicator_persistence,grade_persistence,input,input_grade,output,output_grade,outcome,outcome_grade
Adelaide,0.115393893,1,14.02000501,0,16.9913779,0,0,0,19,0,0.006073363,F,0.052631579,F,0.737895,B,0,F,0.894283047,A,0.006073363,F,0.39526329,D,0.447141524,D
Aston,0.224354452,5,24.31130349,0,22.8752758,0,0,0,28,0,0.008012659,F,0.178571429,E,0.868260839,A,0,F,0.816974136,B,0.008012659,F,0.523416134,C,0.408487068,D
Ballarat,0.199492775,11,34.74985046,0,40.98725709,0,0,1,50,0,0.003989856,F,0.22,E,0.694997009,B,0,F,0.819745142,B,0.003989856,F,0.457498505,D,0.409872571,D
Banks,0.283493577,12,50.60038859,0,49.81220933,1,0,0,59,0,0.004804976,F,0.203389831,E,0.857633705,A,0,F,0.844274734,A,0.004804976,F,0.530511768,C,0.422137367,D
Barker,2.004184883,23,94.72751104,0,104.841141,1,0,4,125,0,0.016033479,F,0.184,E,0.757820088,B,0,F,0.838729128,A,0.016033479,F,0.470910044,D,0.419364564,D
Barton,0.229748398,11,49.22405528,0,46.18325177,1,0,0,54,0,0.0042546,F,0.203703704,E,0.911556579,A,0,F,0.855245403,A,0.0042546,F,0.557630142,C,0.427622702,D
Bass,2.561654471,24,56.34678303,0,63.266055,0,0,5,77,0,0.03326824,F,0.311688312,E,0.731776403,B,0,F,0.821637078,B,0.03326824,F,0.521732357,C,0.410818539,D
Bean,0.631051741,18,71.71184776,0,91.93228306,2,0,53,123,0,0.005130502,F,0.146341463,F,0.583023153,C,0,F,0.747416935,B,0.005130502,F,0.364682308,D,0.373708468,D
Bendigo,0.280010622,7,36.04464029,0,43.30424612,0,0,1,52,0,0.00538482,F,0.134615385,F,0.693166159,B,0,F,0.832773964,B,0.00538482,F,0.413890772,D,0.416386982,D
Bennelong,0.267385634,12,51.75810804,0,51.22068781,1,0,0,61,0,0.004383371,F,0.196721311,E,0.848493574,A,0,F,0.839683407,A,0.004383371,F,0.522607443,C,0.419841703,D
Berowra,2.356317811,14,71.96195524,0,75.74577712,1,0,0,89,0,0.026475481,F,0.157303371,F,0.808561295,B,0,F,0.851076147,A,0.026475481,F,0.482932333,D,0.425538074,D
Blair,1.307993685,14,62.99316989,0,65.00029968,1,0,1,76,0,0.017210443,F,0.184210526,E,0.828857499,B,0,F,0.855267101,A,0.017210443,F,0.506534012,C,0.427633551,D
Blaxland,0.225721375,11,43.2968726,0,42.15783039,1,0,0,51,0,0.004425909,F,0.215686275,E,0.848958286,A,0,F,0.826624125,B,0.004425909,F,0.53232228,C,0.413312063,D
Bonner,1.354873427,12,47.57509029,0,40.98725709,1,0,0,50,0,0.027097469,F,0.24,E,0.951501806,A,0,F,0.819745142,B,0.027097469,F,0.595750903,C,0.409872571,D
Boothby,0.248135171,4,32.60058458,0,32.95357773,0,0,0,39,0,0.00636244,F,0.102564103,F,0.835912425,A,0,F,0.844963532,A,0.00636244,F,0.469238264,D,0.422481766,D
Bowman,1.370946962,12,48.04780538,0,44.18694433,1,0,1,54,0,0.025387907,F,0.222222222,E,0.889774174,A,0,F,0.818276747,B,0.025387907,F,0.555998198,C,0.409138373,D
Braddon,3.081678057,36,63.16126241,0,68.33629754,0,0,17,87,0,0.035421587,F,0.413793103,D,0.725991522,B,0,F,0.785474684,B,0.035421587,F,0.569892313,C,0.392737342,D
