LGA_NAME21,sum_prop_funding,num_sp_current_recovery_plan,sum_sutcliffe_met,num_sp_status_improved,sum_persistence_prob,num_sp_status_worsened,num_sp_extinct,number_threat_sp,number_delisted_sp,indicator_funding,grade_funding,indicator_recovery_plans,grade_recovery_plans,indicator_habitat_prot,grade_habitat_prot,indicator_improved,grade_improved,indicator_persistence,grade_persistence,input,input_grade,output,output_grade,outcome,outcome_grade
Adelaide,0.115393893,1,11.21715385,0,14.23303977,0,0,16,0,0.007212118,F,0.0625,F,0.701072116,B,0,F,0.889564985,A,0.007212118,F,0.381786058,D,0.444782493,D
Adelaide Hills,0.143161484,1,19.14562861,0,24.37860947,0,0,31,0,0.004618112,F,0.032258065,F,0.617600923,C,0,F,0.786406757,B,0.004618112,F,0.324929494,E,0.393203378,D
Adelaide Plains,0.196142627,6,25.99686038,0,24.23721423,0,0,29,0,0.006763539,F,0.206896552,E,0.896443461,A,0,F,0.835766008,A,0.006763539,F,0.551670007,C,0.417883004,D
Albany,1.978515019,12,58.78185334,1,61.91117486,2,0,77,1,0.025695,F,0.155844156,F,0.763400693,B,0.012820513,F,0.793733011,B,0.025695,F,0.459622424,D,0.403276762,D
Albury,0.181555141,8,19.37126439,0,18.97052194,1,0,24,0,0.007564798,F,0.333333333,D,0.807136016,B,0,F,0.790438414,B,0.007564798,F,0.570234675,C,0.395219207,D
Alexandrina,0.271694911,6,45.43468866,0,51.14490558,0,0,65,0,0.004179922,F,0.092307692,F,0.69899521,B,0,F,0.786844701,B,0.004179922,F,0.395651451,D,0.393422351,D
Alice Springs,0.104768877,2,7.080164903,0,6.995852364,0,0,9,0,0.011640986,F,0.222222222,E,0.786684989,B,0,F,0.777316929,B,0.011640986,F,0.504453606,C,0.388658465,D
Alpine,1.80411291,9,40.59851925,0,37.46688826,0,0,44,0,0.041002566,F,0.204545455,E,0.922693619,A,0,F,0.851520188,A,0.041002566,F,0.563619537,C,0.425760094,D
Anangu Pitjantjatjara Yunkunytjatjara,0.051176969,2,8.84778019,0,8.633587099,0,0,9,0,0.00568633,F,0.222222222,E,0.983086688,A,0,F,0.959287455,A,0.00568633,F,0.602654455,C,0.479643728,D
Ararat,0.22652825,12,44.73708567,0,51.04140146,0,0,61,0,0.003713578,F,0.196721311,E,0.733394847,B,0,F,0.836744286,A,0.003713578,F,0.465058079,D,0.418372143,D
